Review #,Brand,Variety,Style,Country,Stars,Top Ten
2580,NEW TOUCH,T's Restaurant Tantanmen ,Cup,Japan,3.75,False
2579,JUST WAY,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1.0,False
2578,NISSIN,Cup Noodles Chicken Vegetable,Cup,USA,2.25,False
2577,WEI LIH,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,False
2576,CHING'S SECRET,Singapore Curry,Pack,India,3.75,False
2575,SAMYANG,Kimchi song Song Ramen,Pack,South Korea,4.75,False
2574,ACECOOK,Spice Deli Tantan Men With Cilantro,Cup,Japan,4.0,False
2573,IKEDA SHOKU,Nabeyaki Kitsune Udon,Tray,Japan,3.75,False
2572,RIPE'N'DRY,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,False
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,False
2570,TAO KAE NOI,Creamy tom Yum Kung Flavour,Pack,Thailand,5.0,False
2569,YAMACHAN,Yokohama Tonkotsu Shoyu,Pack,USA,5.0,False
2568,NONGSHIM,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,False
2567,NISSIN,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,False
2566,NISSIN,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5.0,False
2565,KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,False
2564,TRDP,Mario Masala Noodles,Pack,India,3.75,False
2563,YAMACHAN,Tokyo Shoyu Ramen,Pack,USA,5.0,False
2562,BINH TAY,Mi Hai Cua,Pack,Vietnam,4.0,False
2561,PALDO,Premium Gomtang,Pack,South Korea,4.0,False
2560,NISSIN,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,False
2559,JACKPOT TERIYAKI,Beef Ramen,Pack,USA,5.0,False
2558,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5.0,False
2557,YAMACHAN,Sapporo Miso Ramen,Pack,USA,4.75,False
2556,CHING'S SECRET,Hot Garlic Instant Noodles,Pack,India,4.25,False
2555,SAMYANG,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,False
2554,YUM MIE,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5,False
2553,NISSIN,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,False
2552,MYKUALI,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5.0,False
2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4.0,False
2550,SAMYANG,Paegaejang Ramen,Pack,South Korea,5.0,False
2549,NISSIN,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,False
2548,OTTOGI,Plain Instant Noodle No Soup Included,Pack,South Korea,3.3944444444444444,False
2547,SICHUAN GUANGYOU,Chongqing Spicy Hot Noodles,Bowl,China,4.0,False
2546,NEW TOUCH,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,False
2545,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5.0,False
2544,LIPTON,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,False
2543,KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5.0,False
2542,ACECOOK,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,False
2541,NISSIN,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,5.0,False
2540,WEI LIH,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,False
2539,NISSIN,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,False
